title,published_at,duration,view_count,like_count,comment_count
Let's see if you dare next time #Shorts #017,2023-04-25T02:40:11Z,PT18S,246200629,1572774.0,942.0
[6번] 식당 업소용 음식포장 비닐랩 절단기,2023-05-11T07:08:02Z,PT15S,160984366,1472323.0,678.0
Khaby Lame react epic moments #shorts #kabhylame,2023-05-12T09:35:22Z,PT19S,96455747,2312319.0,2203.0
Polina Knoroz's Cute Moment in Sports #shorts,2023-06-11T13:30:04Z,PT35S,91902366,1397067.0,930.0
Salute to indian army🇮🇳❤️💯 #army #trending #viral #respect #ytshorts #anurag #shorts #short #indian,2023-05-05T14:00:16Z,PT30S,85157682,1973374.0,0.0
#طفل فقير يريد ان يشتري الموز من البائع ولكن لم يكون المال يكفي ويطرده,2023-04-09T05:00:27Z,PT52S,72179884,1657224.0,6456.0
Khaby Lame react epic moments #shorts #kabhylame,2023-02-16T12:16:24Z,PT24S,68627526,1720630.0,907.0
Happiness ❤️ | Wild Cookbook,2023-03-18T06:45:38Z,PT58S,61273357,2385050.0,6365.0
MOST SATISFYIGN world RECORD,2023-05-17T22:00:33Z,PT26S,56268598,2764756.0,9656.0
Cute baby enjoying in slide 🛝 #viral #shorts #youtubeshorts #aarorakhadka,2023-06-08T11:02:40Z,PT12S,55649728,907209.0,0.0
Masala Cheese Kottu 😋 #shorts #asmr #asmrcooking #kottu #masala #chicken #easyrecipe #indianfood,2023-05-07T13:56:00Z,PT56S,52893322,1522472.0,3364.0
LED chaser Circuit |  Electronics Projects | LED circuits,2023-05-14T11:30:02Z,PT59S,51253022,817245.0,2238.0
Amazing Masala Guava | traditional food home,2023-01-06T13:53:07Z,PT44S,45966884,1814779.0,2909.0
Best Summer Coco Drink | Energy Booster | Wild Cookbook,2023-03-02T06:33:33Z,PT50S,40525860,1392069.0,907.0
tak boleh| upin ipin pelit#shorts,2023-03-12T00:40:16Z,PT15S,39867680,569581.0,
"ПОЧЕМУ ЧАПИ В ШОКОЛАДЕ, А Я НЕТ?🐶😁",2023-05-02T15:15:02Z,PT1M,34799682,1067428.0,436.0
OMG what he did 😱 #funny #funnyvideos #family #comedy #prank,2023-03-05T10:00:04Z,PT11S,34526806,350870.0,470.0
Frootloop Challenge - #magic #magician #challenge #prank,2023-03-04T23:25:36Z,PT21S,30899579,312724.0,192.0
වැරදුනු  transition එක 🤣#trending#1million #viral#shortvideo#srilanka #comedy #funny #trend#shorts,2023-01-07T07:39:03Z,PT11S,29562656,277244.0,
Talking Tom 🥨🍟🍕🥬🫛🫑🫒🫐🍇🍊🥭🍍,2023-03-25T02:26:38Z,PT8S,28156473,1299213.0,699.0
Prima di uscire 🤣 da Severo Collegio di Danza #collegiodidanza #amelitvit #shorts,2023-04-22T09:00:30Z,PT1M,27497855,549093.0,615.0
Puzzle slow ❤💯 #shorts #satisfying,2023-05-16T02:32:40Z,PT16S,26635375,,842.0
My students are the best 🥲💀,2023-01-21T00:38:53Z,PT14S,22804287,1269100.0,2174.0
Farming Equipment ###❗❗❗,2023-01-04T14:40:31Z,PT15S,22627839,145583.0,311.0
Purina One Bifensis: Gözle Görülür Sağlık,2023-05-26T13:39:48Z,PT15S,21881806,612.0,13.0
DILU Beats - Numba Ha (Suraganak Wilasa) - Official Lyrics Video,2023-02-05T12:30:07Z,PT2M44S,17973032,114304.0,6422.0
Leg-endary chicken cravings? KFC got you covered!,2023-05-05T10:48:54Z,PT10S,16797612,63.0,4.0
